hour,sentiment,tweets,topics,sampleTweets,hashtags
Tue Jun 30 19:00:03 UTC 2015,false,292,null,null,null
Tue Jun 30 19:00:03 UTC 2015,true,371,null,null,null
Tue Jun 30 20:00:03 UTC 2015,false,319,null,null,null
Tue Jun 30 20:00:03 UTC 2015,true,355,null,null,null
Tue Jun 30 21:00:03 UTC 2015,false,257,null,null,null
Tue Jun 30 21:00:03 UTC 2015,true,493,null,null,null
Tue Jun 30 22:00:03 UTC 2015,false,217,null,null,null
Tue Jun 30 22:00:03 UTC 2015,true,356,null,null,null
Tue Jun 30 23:00:03 UTC 2015,false,221,null,null,null
Tue Jun 30 23:00:03 UTC 2015,true,262,null,null,null
Wed Jul 01 00:00:03 UTC 2015,false,173,null,null,null
Wed Jul 01 00:00:03 UTC 2015,true,177,null,null,null
Wed Jul 01 01:00:03 UTC 2015,false,109,null,null,null
Wed Jul 01 01:00:03 UTC 2015,true,146,null,null,null
Wed Jul 01 02:00:03 UTC 2015,false,95,null,null,null
Wed Jul 01 02:00:03 UTC 2015,true,133,null,null,null
Wed Jul 01 03:00:03 UTC 2015,false,87,null,null,null
Wed Jul 01 03:00:03 UTC 2015,true,119,null,null,null
Wed Jul 01 04:00:03 UTC 2015,false,162,null,null,null
Wed Jul 01 04:00:03 UTC 2015,true,215,null,null,null
Wed Jul 01 05:00:03 UTC 2015,false,163,null,null,null
Wed Jul 01 05:00:03 UTC 2015,true,334,null,null,null
Wed Jul 01 06:00:03 UTC 2015,false,159,null,null,null
Wed Jul 01 06:00:03 UTC 2015,true,245,null,null,null
Wed Jul 01 07:00:03 UTC 2015,false,286,null,null,null
Wed Jul 01 07:00:03 UTC 2015,true,306,null,null,null
Wed Jul 01 08:00:03 UTC 2015,false,164,null,null,null
Wed Jul 01 08:00:03 UTC 2015,true,264,null,null,null
Wed Jul 01 09:00:03 UTC 2015,false,289,null,null,null
Wed Jul 01 09:00:03 UTC 2015,true,521,null,null,null
Wed Jul 01 10:00:03 UTC 2015,false,486,null,null,null
Wed Jul 01 10:00:03 UTC 2015,true,787,null,null,null
Wed Jul 01 11:00:03 UTC 2015,false,647,null,null,null
Wed Jul 01 11:00:03 UTC 2015,true,803,null,null,null
Wed Jul 01 12:00:03 UTC 2015,false,469,null,null,null
Wed Jul 01 12:00:03 UTC 2015,true,547,null,null,null
Wed Jul 01 13:00:03 UTC 2015,false,861,null,null,null
Wed Jul 01 13:00:03 UTC 2015,true,803,null,null,null
Wed Jul 01 14:00:03 UTC 2015,false,740,null,null,null
Wed Jul 01 14:00:03 UTC 2015,true,743,null,null,null
Wed Jul 01 15:00:03 UTC 2015,false,1599,null,null,null
Wed Jul 01 15:00:03 UTC 2015,true,1296,null,null,null
Wed Jul 01 16:00:03 UTC 2015,false,1221,"pti,khan,imran,pakistan,ppp,salary,punjab,months,salaries,punctures","RT @firstpost: Govt notifies 3-month compliance window till 30 September for declaration of undisclosed foreign assets under the new black …|@ImranKhanPTI  as a old member of pti I protest against involvement of reham bhabi in Pti politics.|RT @buriroGM: How shameful after calling parliament fake, attacked on it &amp; resined, PTI Ghost Parliamentarians got salary #ZeroAttendanceFu…","ikongeo,pti,ik,noonecpbhaibhai,zeroattendancefullsalary,pakistan,جھوٹ_کاکپتان_عمران,imrankhan,kpkupdates,ppp"
